description,amount,category,date
Clinic Black,92.48,Healthcare,2025-09-08
Best Buy Might,154.56,Shopping,2025-06-25
Flipkart Tell,271.88,Shopping,2025-10-30
Internet Service Me,243.18,Utilities,2025-10-16
Miscellaneous Seven,389.06,Others,2025-11-10
Miscellaneous Growth,493.35,Others,2025-04-08
Bank Transfer Newspaper,541.9,Finance,2025-08-09
Netflix No,30.79,Entertainment,2025-03-18
Walgreens Several,34.93,Healthcare,2025-03-01
Walmart Fast,269.7,Shopping,2025-01-26
Clinic Describe,92.24,Healthcare,2025-03-08
Uber ride from South Anita,829.68,Travel,2025-07-02
Amazon Throw,249.81,Shopping,2025-01-03
Bank Transfer Beat,575.5,Finance,2025-11-17
Gym Membership Difficult,62.4,Fitness,2025-01-26
Delta Airlines ride from Stephaniebury,832.75,Travel,2024-12-24
Miscellaneous Nature,352.9,Others,2025-07-05
Spotify Catch,37.56,Entertainment,2025-02-21
Yoga Studio Reality,21.73,Fitness,2025-04-24
Planet Fitness Themselves,60.3,Fitness,2025-09-01
Hulu Analysis,5.48,Entertainment,2025-01-07
KFC order 988,17.23,Food & Dining,2025-01-31
Miscellaneous Participant,265.55,Others,2025-09-17
Trainline ride from North Sandra,231.44,Travel,2025-08-06
Charity Donation Also,61.06,Others,2025-08-08
Planet Fitness City,30.13,Fitness,2025-10-12
Cafe Nero order 578,48.83,Food & Dining,2025-05-20
Domino's order 630,41.41,Food & Dining,2025-06-02
Gift Shop Sea,111.76,Others,2025-04-24
CVS Pharmacy Follow,67.96,Healthcare,2025-10-15
Lyft ride from North Jasonchester,141.89,Travel,2025-10-12
Loan EMI Follow,1934.0,Finance,2025-01-14
Investment Platform Should,709.86,Finance,2025-06-07
Internet Service Billion,78.6,Utilities,2025-04-11
Movie Theater Project,13.3,Entertainment,2025-02-05
Gift Shop Could,63.25,Others,2025-09-19
CVS Pharmacy Have,35.11,Healthcare,2025-07-01
Internet Service Knowledge,243.74,Utilities,2025-01-16
Cafe Nero order 694,40.75,Food & Dining,2025-11-14
Yoga Studio Stage,98.03,Fitness,2025-07-16
Charity Donation Set,21.16,Others,2025-04-03
Netflix Factor,32.92,Entertainment,2025-01-21
Hospital Generation,27.66,Healthcare,2025-11-08
Amazon Good,492.6,Shopping,2024-11-22
Walmart Control,469.94,Shopping,2024-12-14
Gym Membership Short,146.02,Fitness,2025-02-10
Subway order 858,45.27,Food & Dining,2025-11-11
Ola ride from Nguyenbury,978.06,Travel,2025-04-29
Water Board Material,163.97,Utilities,2024-12-07
Gift Shop Decide,189.3,Others,2025-07-13
Airbnb ride from Richardsonside,82.22,Travel,2025-09-30
Charity Donation Fear,469.46,Others,2025-05-28
Phone Bill Push,179.53,Utilities,2025-02-01
Best Buy Result,320.45,Shopping,2025-04-21
Ola ride from South James,971.47,Travel,2025-01-13
Gym Membership Respond,143.16,Fitness,2025-06-22
Delta Airlines ride from East Teresachester,128.29,Travel,2025-08-18
Netflix She,33.21,Entertainment,2025-07-16
Gift Shop Glass,46.79,Others,2025-10-08
Hulu Someone,31.81,Entertainment,2025-06-10
Flipkart Practice,300.59,Shopping,2024-12-31
Spotify While,33.71,Entertainment,2025-04-01
Clinic Live,49.25,Healthcare,2025-03-06
Internet Service Perhaps,243.18,Utilities,2025-03-07
Lyft ride from Rossfort,580.11,Travel,2025-03-31
Amazon Within,497.6,Shopping,2025-06-25
Investment Platform Month,1427.3,Finance,2025-05-03
Flipkart Pretty,405.44,Shopping,2025-09-22
Yoga Studio Modern,39.84,Fitness,2025-09-10
Domino's order 296,12.38,Food & Dining,2025-03-12
KFC order 780,46.75,Food & Dining,2025-03-02
Miscellaneous Citizen,416.71,Others,2025-08-19
Fitbit Subscription Much,136.21,Fitness,2025-04-09
Airbnb ride from West Jimmy,673.76,Travel,2025-01-07
Credit Card Payment Recognize,1675.14,Finance,2024-12-24
Clinic Mouth,154.47,Healthcare,2025-03-07
Uber ride from Christianfort,790.85,Travel,2025-01-19
Rite Aid Car,67.26,Healthcare,2025-09-21
Flipkart Drug,397.54,Shopping,2025-09-21
Yoga Studio Consider,37.04,Fitness,2024-11-21
Rite Aid Appear,153.89,Healthcare,2025-08-01
Credit Card Payment Them,1799.12,Finance,2025-01-27
Hospital Read,189.78,Healthcare,2024-12-22
Best Buy As,16.25,Shopping,2025-08-13
Flipkart Language,373.03,Shopping,2024-12-05
